extend *,BasedOn,GoldCost,HammersCost,BooksCost,PietyCost,GoldUpkeep,Bonuses,Requires
// Common Buildings
// Military
ArmyStables,Building,450,600,,,,1 WorkerSlots in Town,
CityWatch,Building,660,800,,,,2 rs_stability_buildings 2 TownGuards in Town,
ArmySiegeWorkshop,Building,1320,1800,50,,,10 rs_siege_defense 5 rs_attrition_damage,Craftsmen
Armory,Building,1100,1200,,,,20 rs_siege_defense 20 rs_light_discount_perc,
// Trade
MarketSquare,Building,550,800,,,,4 Gold in Town,
MerchantHall,Building,1550,2000,,,,2 Gold in Town 1 Gold in Village 1 WorkerSlots in Town 10 rs_growth_rate_perc,Craftsmen
// Farming
CropFarming,Building,280,1000,,,,2 Food in Town 1 Food in Farm,
WeavingMill,Building,890,1200,,,,1 Trade in Town 1 Trade in Farm 1 WorkerSlots in Town produces Linen,Craftsmen Flax
Windmill,Building,660,1000,,,,1 Trade in Town 1 Food in Town 1 Trade in Farm 1 Food in Farm 50 rs_max_food,Craftsmen
// River
RiverDocks,Building,890,1100,,,,0.5 Gold in All 5 rs_growth_rate_perc
Irrigation,Building,1100,2000,,,,2 Food in Town 2 Food in Farm,Rivers
// Sea
Harbor,Building,1320,1400,,,,1 Gold in All 5 rs_growth_rate_perc,Craftsmen
FishingDocks,Building,660,600,,,,3 Food in Town
TradePort,Building,2750,3500,,,,2 Gold in Town 1 Gold in All 15 rs_growth_rate_perc,Craftsmen Timber
Shipyard,Building,2200,3000,,,,6 Trade in Town 20 rs_siege_defense,Craftsmen Timber Tar
// Crafting
Workshop,Building,230,400,,,,1 Hammers in Town 1 WorkerSlots in Town 5 rs_build_cost_discount_perc,
Blacksmith,Building,660,1000,,,,1 Trade in Town 1 Trade in Village 1 WorkerSlots in Town,
Tanneries,Building,450,800,,,,2 Trade in Town 1 WorkerSlots in Town,
// Punishment
Dungeon,Building,550,800,,,,4 rs_stability_buildings -10 rs_growth_rate_perc,
CourtHall,Building,1210,1500,,,,1 WorkerSlots in Town 2 rs_stability_buildings 1 ks_stability if Governed,EarlyScholars


// Catholic Buildings
// Religious
Church,Building,780,900,,,,2 Piety in Town 2 rs_happiness if ChristianRealm,Christian
CityMonastery,Building,550,1100,,,,1 Piety in Town 1 Books in Town,Christian
Cathedral,Building,3860,4500,,500,,4 Piety in Town 1 Piety in Monastery 1 Piety in Village 100 ks_max_piety if ClericGovernor 20 ks_culture_from_buildings if ClericGovernor,Christian Stonemasons
EcclesiasticalCourt,Building,1440,2000,,250,,4 rs_stability_buildings -2 ks_corruption if Governed,Catholic
EpiscopalPalace,Building,5500,5000,,1000,,4 Gold in Town 1 Gold in Village 1 Gold in Monastery 200 ks_max_piety if ClericGovernor 30 rs_fame_buildings_bonus if ClericGovernor,Catholic Stonemasons
// Military
Feudal_Fiefs_Christian,Building,550,1500,,,,2 Levy in Town 1 Levy in Keep -2 Gold in Town -1 Gold in Keep 50 ks_max_levy if Governed,Catholic
TrainingField,Building,2200,4000,500,,,1 rs_initial_troops_level,Scholars Catholic
// Trade
MerchantsGuild,Building,3090,3000,,,,5 Gold in Town 1 WorkerSlots in Town 1 ks_base_trading_income if Governed produces Merchants,Stonemasons Christian
// Farming
// River
// Sea
Admiralty,Building,4400,5000,,,,50 rs_siege_defense 20 rs_fame_buildings_bonus if Governed 15 ks_profit_from_colonies_perc if Governed 1 ks_has_admiralty if Governed,Christian Stonemasons
ItalianTraderQuarters,Building,1660,2000,,,,10 Gold in Town 20 rs_growth_rate_perc -5 rs_happiness ,Christian Stonemasons
// Crafting
StonemasonsGuild,Building,2640,3000,,,,2 Hammers in Town 10 rs_build_cost_discount_perc 2 WorkerSlots in Town,Christian
CraftsmensGuild,Building,2200,2500,,,,2 Hammers in Town 10 rs_build_cost_discount_perc 2 WorkerSlots in Town,Christian
BlacksmithsGuild,Building,2870,3500,,,,2 Trade in Town 2 WorkerSlots in Town 1 Trade in Village 1 WorkerSlots in Village,Christian
// Education
School_Christian,Building,450,750,,,,2 Books in Town 1 WorkerSlots in Town,EducationalBooks Christian 
Library_Christian,Building,1770,2000,,,,4 Books in Town 1 WorkerSlots in Town 5 ks_culture_from_buildings if Governed 100 ks_max_books if Governed,EarlyScholars Christian
University_Christian,Building,4620,5000,,,,6 Books in Town 1 Books in Village 2 WorkerSlots in Town 1 WorkerSlots in Village 10 rs_growth_rate_perc 20 rs_fame_buildings_bonus if Governed -4 rs_stability_buildings,Stonemasons Christian
// Culture
TownHall_Christian,Building,780,900,,,,2 rs_happiness 10 rs_growth_rate_perc 5 ks_culture_from_buildings if Governed,EducationalBooks Christian
TournamentGrounds_Christian,Building,2420,2000,,,,1 Levy in Town 1 Levy in Keep 4 rs_happiness 10 ks_hire_knight_cost_discount_perc if KingGovernor 10 ks_knight_wage_discount_perc if KingGovernor 10 rs_fame_buildings_bonus if Governed  20 ks_culture_from_buildings if Governed,IronTools EarlyScholars Christian
