extend *,based_on,name,militaryUnitType,cost_Gold,cost_Workers,cost_Food,cost_Levy,cost_Piety,cost_merc_Gold,upkeep_Gold,upkeep_Food,upkeep_merc_Gold,upkeep_merc_Food,size,tier,siege_strength,defense,CTH,CTH_shoot_mod,CTH_cavalry_mod,naval_CTH_perc,chance_to_shock,resilience,trample_chance,attack_interval,shoot_interval,attack_range,salvo_capacity,salvo_def,friendly_fire_mod,move_speed,run_speed_mul,charge_speed_mul,world_speed_mod,stamina_max,defense_against_ranged_mod,CTH_siege_vs_siege,defeat_under_num_units_mul
Battering_Ram,SiegeEquipment,Battering Ram,,500 Gold,,,,,,5 Gold,,,,,,9,150,5,100,,,,,,2,,1,,,,1.8,1,1,,,20,70,
Heavy_Siege_Ram,SiegeEquipment,Battering Ram,,1500 Gold,,,,,,10 Gold,,,,,,18,150,5,100,,,,,,2,,1,,,,1.8,1,1,,,20,70,
Heavy_Trebuchet,SiegeEquipment,Trebuchet,,5000 Gold,,,,,,20 Gold,,,,,,25,150,1,100,,,,,,,9,0,300,RockSalvo,1,1.6,1,1,,,10,13000,
TownGuard,Defense,Town Guards,Light Defense Troops,,,,,,,null,null,,,35,,2,25,13,,1.25,0,2,20,,,,2,,,,2.5,,,0.65,150,,,
Militia_CE,Militia,Levied Peasants,Light Militia Troops,,3 Workers,25 Food,,,,,3 Food,4 Gold,0 Food,40,0,1,6,8,,,0,2,0,,,,,,,,,,,0.7,100,,,
Levy_Axemen,Infantry,Levy Axemen,Light Infantry,50 Gold,1 Workers,50 Food,300 Levy,,250 Gold,,3 Food,4 Gold,0 Food,40,0,3,19,20,,,0,5,15,,,,,,,,2.8,,,0.7,150,0.7,,
Light_Spearman_CE,Defense,Levy Spearmen,Light Defense Troops,100 Gold,1 Workers,50 Food,300 Levy,,,,3 Food,4 Gold,0 Food,40,1,2,39,10,,1.25,0,3,30,,,,,,,,,,,0.7,150,,,
Light_Infantry_CE,Infantry,Levy Swordsmen,Light Infantry,150 Gold,1 Workers,50 Food,300 Levy,,250 Gold,,3 Food,4 Gold,0 Food,40,1,4,22,25,,,0,6,10,,,,,,,,,,,0.7,150,,,
Light_Archer_CE,Ranged,Levy Archers,Light Ranged Troops,75 Gold,1 Workers,75 Food,250 Levy,,,,3 Food,4 Gold,0 Food,35,0,7,9,5,3,,33,2,0,,,3,1,25,,,,,,0.7,150,,,
Light_Cavalry_CE,HorseCavalry,Levy Cavalry,Light Cavalry,250 Gold,1 Workers,100 Food,200 Levy,,500 Gold,,3 Food,4 Gold,0 Food,30,1,3,39,25,,,-33,10,15,,,,,,,,,,,1.0,200,,,
Early_Knights_Dismounted,HeavyInfantry,Early Knights (Dismounted),Heavy Infantry,500 Gold,2 Workers,150 Food,400 Levy,,1000 Gold,,4 Food,5 Gold,0 Food,25,2,9,60,27,,,0,10,25,,,,1.25,,,,2,,,0.6,200,1,,
Early_Knights,HeavyCavalry,Early Knights,Heavy Cavalry,700 Gold,2 Workers,150 Food,400 Levy,,1000 Gold,,4 Food,5 Gold,0 Food,25,2,7,72,33,,,-33,15,30,,,,,,,,,,,0.8,250,,,
Noble_Knights_Dismounted,HeavyInfantry,Noble Knights (Dismounted),Heavy Infantry,600 Gold,2 Workers,150 Food,500 Levy,,1000 Gold,,4 Food,5 Gold,0 Food,25,2,10,72,33,,,0,10,25,,,,1.25,,,,2,,,0.6,200,1,,
Noble_Knights,HeavyCavalry,Noble Knights,Heavy Cavalry,800 Gold,2 Workers,150 Food,500 Levy,,1000 Gold,,4 Food,5 Gold,0 Food,25,2,8,85,39,,,-33,15,30,,,,,,,,,,,0.8,250,,,
Marshal_CE,Noble,Noblemen Cavalry,Heavy Cavalry,,,,,,,null,null,,,25,2,8,90,41,,,-33,20,30,,,,,,,,,,,0.85,250,,,
Marshal_Guard_CE,Marshal_CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshal_Rebel_CE,Marshal_CE,Rebel Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshal_Guard_Rebel_CE,Marshal_Guard_CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feudal_Knights_Dismounted,HeavyInfantry,Feudal Knights (Dismounted),Heavy Infantry,1000 Gold,3 Workers,200 Food,500 Levy,,2500 Gold,,4 Food,6 Gold,0 Food,25,3,12,110,36,,,0,13,35,,,,1.25,,,,2,,,0.6,100,1,,
Feudal_Knight_Special,HeavyCavalry,Feudal Knights,Elite Heavy Cavalry,1200 Gold,3 Workers,200 Food,500 Levy,,2500 Gold,,6 Food,8 Gold,0 Food,25,3,10,125,43,,,-33,18,40,,,,1.15,,,,4.75,,,0.8,150,,,
AdvancedMilitia_CE,Militia,City Militia,Light Militia Troops,200 Gold,3 Workers,25 Food,null,,300 Gold,2 Gold,1 Food,4 Gold,0 Food,45,1,4,30,18,,,0,3,5,,,,,,,,2.75,,,0.6,125,,,
Sword_Militia_CE,Infantry,Sword Militia,Light Infantry,300 Gold,4 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,45,1,4,24,24,,,0,4,5,,,,,,,,,,,0.6,125,,,
