Name,,NobilityTitles,NobilityNames,Ethnicity,UnitsSet,Colors,
,,,,,,,
Obotritian,,All,Polish,Slavic,WestSlavicUnitSet,,
Swabian,,All,German,European,EuropeanUnitSet,,
Mari,,Tribal,Finish,Slavic,BalticUnitSet,,
Roman,,Italian,Italian,European,EuropeanUnitSet,,
Venetian,,Italian,Italian,European,EuropeanUnitSet,,
Genuese,,Italian,Italian,European,EuropeanUnitSet,,
Pisan,,Italian,Italian,European,EuropeanUnitSet,,
Lombard,,Italian,Italian,European,EuropeanUnitSet,,
Neapolitan,,Italian,Italian,European,EuropeanUnitSet,,
Sicilian,,Italian,Italian,European,EuropeanUnitSet,,
Italian,,Italian,Italian,European,EuropeanUnitSet,,
Burgundian,,All,French,European,WesternUnitSet,,
Castilian,,All,Spanish,European,SpanishUnitSet,,
Leonese,,All,Spanish,European,SpanishUnitSet,,
Aragonese,,All,Spanish,European,SpanishUnitSet,,
Portuguese,,All,Spanish,European,SpanishUnitSet,,
Catalan,,All,Spanish,European,SpanishUnitSet,,
Basque,,All,Spanish,European,SpanishUnitSet,,
Galician,,All,Spanish,European,SpanishUnitSet,,
AngloSaxon,,Brit,English,European,WesternUnitSet,,
Kipchak,,Steppe,Turk,Arabic,SteppeUnitSet,,
Pecheneg,,Steppe,Turk,Arabic,SteppeUnitSet,,
Bedouin,,Arab,Arab,Arabic,ArabicUnitSet,,
Hawwara,,Berber,Berber,Arabic,BerberUnitSet,,
