// has_river_city and has_coastal_city have no apparent function. We use them as is_desert and is_lush instead

extend Realms.europe.*;has_rivers;has_river_city;has_coastal_city;has_mountains;seas_count;has_distant_port
Tangier;false;false;false;false;2;false
Aden;false;false;false;false;2;true
Yorkshire;false;false;false;false;2;false
Sardinia;false;false;false;false;4;true
Bavaria;true;false;false;true;0;false
Basra;true;false;false;false;1;false
Murcia;true;false;false;false;1;false
Jeddah;false;false;false;true;1;false
Livonia;false;false;false;false;1;false
Kursk;true;false;false;false;0;false
Khuzestan;false;false;false;false;1;false
Aydhab;false;false;false;true;1;false
Ouargla;false;true;false;false;0;false
Uppland;false;false;false;false;1;false
Riga;true;false;false;false;2;false
Nis;false;false;false;true;0;false
Champagne;true;false;false;false;0;false
Siwa;false;true;false;false;0;false
Sredets;false;false;false;true;0;false
Suzdal;true;false;false;false;0;false
Trondheim;false;false;false;true;1;false
Prussia;false;false;false;false;1;false
Bessarabia;true;false;false;false;1;false
Ile_de_France;true;false;false;false;1;false
Saxony;false;false;false;false;0;false
Porto;false;false;false;false;1;false
Mallorca;false;false;false;false;2;true
Veneto;false;false;false;true;1;false
Qufa;true;true;false;false;0;false
Samara;true;false;false;false;0;false
Voronezh;true;false;false;false;0;false
Nizhniy_Novgorod;true;false;false;false;0;false
Ghadames;false;true;false;false;0;false
Bolghar;true;false;false;false;0;false
Vastergotland;false;false;false;true;1;false
Dalmatia;false;false;false;false;1;false
Raska;false;false;false;true;0;false
Ulster;false;false;false;false;2;false
Aberdeenshire;false;false;false;true;1;false
Erzurum;false;false;false;true;0;false
Campania;false;false;false;false;2;false
Ohrid;false;false;false;true;0;false
Narbonnais;false;false;false;true;1;false
Emilia;false;false;false;false;1;false
Ryazan;false;false;false;false;0;false
Kaouar;false;false;false;false;0;false
Fezzan;false;false;false;false;1;false
Anjou;true;false;false;false;1;false
Rostov;false;false;false;false;0;false
Hoggar;false;true;false;false;0;false
Cirta;false;false;false;false;1;true
Faras;true;false;false;false;0;false
Tikrit;true;false;false;false;0;false
Palestine;false;false;false;true;1;false
Pars;false;false;false;true;1;false
Novgorod;false;false;false;false;1;false
Leinster;false;false;false;false;2;false
Sicily;false;false;false;false;2;true
Hajrah;false;true;false;false;1;false
Saaremaa;false;false;false;false;1;true
Rhodes;false;false;false;false;1;true
Estland;false;false;false;false;1;false
Thuringia;true;false;false;false;0;false
Pereyaslavl;true;false;false;false;0;false
Bremen;true;false;false;false;1;false
Hordaland;false;false;false;true;1;false
Mazovia;true;false;false;false;0;false
Navarra;true;false;false;true;1;false
Belgorod;true;false;false;false;0;false
Ispahan;false;false;false;true;0;false
Al_Khanafah;false;false;false;false;1;false
Al_Duwadimi;false;true;false;false;1;false
Moldavia;true;false;false;false;0;false
Schleswig;false;false;false;false;2;false
Provence;false;false;false;true;2;false
Baghdad;true;false;false;false;0;false
Svealand;false;false;false;true;1;false
Lazika;false;false;false;true;1;false
Al_Halab;true;false;false;false;0;false
Taghaza;false;true;false;false;0;false
Attica;false;false;false;false;2;false
Smolensk;true;false;false;false;0;false
Lyonnais;true;false;false;true;0;false
Epirus;false;false;false;true;1;false
Banat;true;false;false;true;0;false
Antioch;false;false;false;false;1;false
Vladimir;false;false;false;false;0;false
Polotsk;true;false;false;false;0;false
Cyrenaica;false;false;false;false;2;true
Tamdoult;false;true;false;false;0;false
Karvuna;true;false;false;false;1;false
Dumyat;true;false;false;false;2;false
Vastermanland;false;false;false;false;0;false
Valencia;false;false;false;false;2;false
Komarom;true;false;false;false;0;false
Melitene;true;false;false;true;0;false
Savoy;false;false;false;true;0;false
Tabriz;false;false;false;true;0;false
Ghat;false;true;false;false;0;false
Normandy;true;false;false;false;1;false
Al_Qasr;false;false;false;true;0;false
Safi;false;false;false;false;1;false
Latium;false;false;false;false;2;false
Siveria;true;false;false;false;0;false
Toledo;false;false;false;true;0;false
Chernigov;true;false;false;false;0;false
Volodymyr;true;false;false;false;0;false
Yathrib;false;false;false;true;0;false
Narva;false;false;false;false;1;false
Grodno;false;false;false;false;0;false
Kazan;true;false;false;false;0;false
Tbilisi;false;false;false;true;1;false
Mascat;false;false;false;false;2;true
Calais;false;false;false;false;1;false
