*;base
culture_Obotritian;Obotritisch
culture_Swabian;Schwäbisch
culture_Mari;Mari
culture_group_Frankish;Fränkisch
culture_group_English;Englisch
culture_group_Iberian;Iberisch
culture_group_Italian;Italienisch
culture_group_Nordic;Nord-Germanisch
culture_group_Steppe;Türkisch Nomadisch
culture_group_ArabicNomadic;Arabisch Nomadisch
culture_Roman;Römisch
culture_Venetian;Venezianisch
culture_Genuese;Genuesisch
culture_Lombard;Lombardisch
culture_Neapolitan;Neapolitanisch
culture_Sicilian;Sizilianisch
culture_French;Französisch
culture_Burgundian;Burgundisch
culture_Occitan;Okzitanisch
culture_Norman;Normannisch
culture_Castilian;Kastilisch
culture_Leonese;Leonesisch
culture_Aragonese;Aragonesisch
culture_Portuguese;Portugiesisch
culture_Catalan;Katalanisch
culture_Basque;Baskisch
culture_Galician;Galizisch
culture_AngloSaxon;Angelsächsisch
culture_Kipchak;Kiptschakisch
culture_Cuman;Kumanisch
culture_Pecheneg;Petschenegisch
culture_Bedouin;Beduinisch
culture_Hawwara;Hawwara
culture_Pisan;Pisanisch
