"*";"base";"nom";"gen";"dat";"akk";"movto";"prepin";"prepto";"prepby";"prepfrom"
"default";"";"{base}";"{base}s";"{base}";"{base}";"nach {base}";"in {base}";"zu {base}";"von {base}";"aus {base}"
tn_Teutonic_Order;"Deutschorden";"das Deutschordenreich";"des Deutschordenreichs";"dem Deutschordenreich";"das Deutschordenreich";"ins Deutschordenreich";"im Deutschordenreich";"zum Deutschorden";"vom Deutschordenreich";"aus dem Deutschordenreich"
tn_Abbasids;"Abbasiden";"das Abbasidenreich";"des Abbasidenreichs";"dem Abbasidenreich";"das Abbasidenreich";"ins Abbasidenreich";"im Abbasidenreich";"zu den Abbasiden";"vom Abbasidenreich";"aus dem Abbasidenreich"
tn_LorraineLower;"Niederlothringen";"Niederlothringen";"Niederlothringens";"Niederlothringen";"Niederlothringen";"nach Niederlothringen";"in Niederlothringen";"zu Niederlothringen";"von Niederlothringen";"aus Niederlothringen"
tn_LorraineUpper;"Oberlothringen";"Oberlothringen";"Oberlothringens";"Oberlothringen";"Oberlothringen";"nach Oberlothringen";"in Oberlothringen";"zu Oberlothringen";"von Oberlothringen";"aus Oberlothringen"
tn_Obotrites;"Obotriten";"das Obotritenreich";"des Obotritenreichs";"dem Obotritenreich";"das Obotritenreich";"ins Obotritenreich";"im Obotritenreich";"zu den Obotriten";"vom Obotritenreich";"aus dem Obotritenreich"
tn_Almoravids;"Almoraviden";"das Almoravidenreich";"des Almoravidenreichs";"dem Almoravidenreich";"das Almoravidenreich";"ins Almoravidenreich";"im Almoravidenreich";"zu den Almoraviden";"vom Almoravidenreich";"aus dem Almoravidenreich"
tn_Massufa;"Massufa";"die Massufa";"der Massufa";"den Massufa";"die Massufa";"zu den Massufa";"bei den Massufa";"zu den Massufa";"von den Massufa";"von den Massufa"
tn_Hawwara;"Hawwara";"die Hawwara";"der Hawwara";"den Hawwara";"die Hawwara";"zu den Hawwara";"bei den Hawwara";"zu den Hawwara";"von den Hawwara";"von den Hawwara"
tn_Lamtuna;"Lamtūna";"die Lamtūna";"der Lamtūna";"den Lamtūna";"die Lamtūna";"zu den Lamtūna";"bei den Lamtūna";"zu den Lamtūna";"von den Lamtūna";"von den Lamtūna"
tn_Lamta;"Lamta";"die Lamta";"der Lamta";"den Lamta";"die Lamta";"zu den Lamta";"bei den Lamta";"zu den Lamta";"von den Lamta";"von den Lamta"
tn_Hammamids;"Hammamiden";"das Hammamidenreich";"des Hammamidenreichs";"dem Hammamidenreich";"das Hammamidenreich";"ins Hammamidenreich";"im Hammamidenreich";"zu den Hammamiden";"vom Hammamidenreich";"aus dem Hammamidenreich"
tn_Zirids;"Ziriden";"das Ziridenreich";"des Ziridenreichs";"dem Ziridenreich";"das Ziridenreich";"ins Ziridenreich";"im Ziridenreich";"zu den Ziriden";"vom Ziridenreich";"aus dem Ziridenreich"
tn_BanuHilal;"Banu Hilal";"die Banu Hilal";"der Banu Hilal";"den Banu Hilal";"die Banu Hilal";"zu den Banu Hilal";"bei den Banu Hilal";"zu den Banu Hilal";"von den Banu Hilal";"von den Banu Hilal"
tn_BanuSulaym;"Banu Sulaym";"die Banu Sulaym";"der Banu Sulaym";"den Banu Sulaym";"die Banu Sulaym";"zu den Banu Sulaym";"bei den Banu Sulaym";"zu den Banu Sulaym";"von den Banu Sulaym";"von den Banu Sulaym"
tn_BanuKhazrun;"Banu Khazrun";"die Banu Khazrun";"der Banu Khazrun";"den Banu Khazrun";"die Banu Khazrun";"zu den Banu Khazrun";"bei den Banu Khazrun";"zu den Banu Khazrun";"von den Banu Khazrun";"von den Banu Khazrun"
tn_SicilyNorman;"Normannisches Sizilien";"das Normannische Sizilien";"des Normannischen Siziliens";"dem Normannischen Sizilien";"das Normannische Sizilien";"nach Normannisch-Sizilien";"in Normannisch-Sizilien";"zu Normannisch-Sizilien";"von Normannisch-Sizilien";"aus Normannisch-Sizilien"
tn_Jarin;"Jarin";"Jarin";"Jarins";"Jarin";"Jarin";"nach Jarin";"in Jarin";"zu Jarin";"von Jarin";"aus Jarin"
tn_Assassin_Order;"Assassinenorden";"der Assassinenorden";"des Assassinenordens";"dem Assassinenorden";"den Assassinenorden";"zum Assassinenorden";"beim Assassinenorden";"zum Assassinenorden";"vom Assassinenorden";"vom Assassinenorden"
tn_Kerman;"Kerman";"Kerman";"Kermans";"Kerman";"Kerman";"nach Kerman";"in Kerman";"zu Kerman";"von Kerman";"aus Kerman"
tn_BanuAmir;"Banu Amir";"die Banu Amir";"der Banu Amir";"den Banu Amir";"die Banu Amir";"zu den Banu Amir";"bei den Banu Amir";"zu den Banu Amir";"von den Banu Amir";"von den Banu Amir"
tn_Uyunids;"Uyuniden";"das Uyunidenreich";"des Uyunidenreichs";"dem Uyunidenreich";"das Uyunidenreich";"ins Uyunidenreich";"im Uyunidenreich";"zu den Uyuniden";"vom Uyunidenreich";"aus dem Uyunidenreich"
tn_Sulayhids;"Sulayhiden";"das Sulayhidenreich";"des Sulayhidenreichs";"dem Sulayhidenreich";"das Sulayhidenreich";"ins Sulayhidenreich";"im Sulayhidenreich";"zu den Sulayhiden";"vom Sulayhidenreich";"aus dem Sulayhidenreich"
tn_Olberli;"Olberli";"die Olberli";"der Olberli";"den Olberli";"die Olberli";"zu den Olberli";"bei den Olberli";"zu den Olberli";"von den Olberli";"von den Olberli"
tn_Toksoba;"Toksoba";"die Toksoba";"der Toksoba";"den Toksoba";"die Toksoba";"zu den Toksoba";"bei den Toksoba";"zu den Toksoba";"von den Toksoba";"von den Toksoba"
tn_Borcogli;"Borčogli";"die Borčogli";"der Borčogli";"den Borčogli";"die Borčogli";"zu den Borčogli";"bei den Borčogli";"zu den Borčogli";"von den Borčogli";"von den Borčogli"
tn_Kipchak;"Kiptschaken";"das Kiptschakenreich";"des Kiptschakenreichs";"dem Kiptschakenreich";"das Kiptschakenreich";"ins Kiptschakenreich";"im Kiptschakenreich";"zu den Kiptschaken";"vom Kiptschakenreich";"aus dem Kiptschakenreich"
tn_Mari;"Mari";"die Mari";"der Mari";"den Mari";"die Mari";"zu den Mari";"bei den Mari";"zu den Mari";"von den Mari";"von den Mari"
tn_Duklja;"Duklja";"Duklja";"Dukljas";"Duklja";"Duklja";"nach Duklja";"in Duklja";"zu Duklja";"von Duklja";"aus Duklja"
tn_Virumaa;"Virumaa";"Virumaa";"Virumaas";"Virumaa";"Virumaa";"nach Virumaa";"in Virumaa";"zu Virumaa";"von Virumaa";"aus Virumaa"
tn_Laanemaa;"Läänemaa";"Läänemaa";"Läänemaas";"Läänemaa";"Läänemaa";"nach Läänemaa";"in Läänemaa";"zu Läänemaa";"von Läänemaa";"aus Läänemaa"
tn_Tavastians;"Tavastien";"Tavastien";"Tavastiens";"Tavastien";"Tavastien";"nach Tavastien";"in Tavastien";"zu Tavastien";"von Tavastien";"aus Tavastien"
tn_Alba;"Alba";"Alba";"Albas";"Alba";"Alba";"nach Alba";"in Alba";"zu Alba";"von Alba";"aus Alba"
tn_Cumbria;"Cumbria";"Cumbria";"Cumbrias";"Cumbria";"Cumbria";"nach Cumbria";"in Cumbria";"zu Cumbria";"von Cumbria";"aus Cumbria"
tn_Moray;"Moray";"Moray";"Morays";"Moray";"Moray";"nach Moray";"in Moray";"zu Moray";"von Moray";"aus Moray"
tn_Seljuks;"Seldschuken";"das Seldschukenreich";"des Seldschukenreichs";"dem Seldschukenreich";"das Seldschukenreich";"ins Seldschukenreich";"im Seldschukenreich";"zu den Seldschuken";"vom Seldschukenreich";"aus dem Seldschukenreich"
tn_Fatimids;"Fatimiden";"das Fatimidenreich";"des Fatimidenreichs";"dem Fatimidenreich";"das Fatimidenreich";"ins Fatimidenreich";"im Fatimidenreich";"zu den Fatimiden";"vom Fatimidenreich";"aus dem Fatimidenreich"
tn_Danishmends;"Danischmendiden";"das Danischmendidenreich";"des Danischmendidenreichs";"dem Danischmendidenreich";"das Danischmendidenreich";"ins Danischmendidenreich";"im Danischmendidenreich";"zu den Danischmendiden";"vom Danischmendidenreich";"aus dem Danischmendidenreich"
tn_Kakuyids;"Kakuyiden";"das Kakuyidenreich";"des Kakuyidenreichs";"dem Kakuyidenreich";"das Kakuyidenreich";"ins Kakuyidenreich";"im Kakuyidenreich";"zu den Kakuyiden";"vom Kakuyidenreich";"aus dem Kakuyidenreich"
tn_Artuqids;"Artuqiden";"das Artuqidenreich";"des Artuqidenreichs";"dem Artuqidenreich";"das Artuqidenreich";"ins Artuqidenreich";"im Artuqidenreich";"zu den Artuqiden";"vom Artuqidenreich";"aus dem Artuqidenreich"
tn_Shaddadids;"Schaddadiden";"das Schaddadidenreich";"des Schaddadidenreichs";"dem Schaddadidenreich";"das Schaddadidenreich";"ins Schaddadidenreich";"im Schaddadidenreich";"zu den Schaddadiden";"vom Schaddadidenreich";"aus dem Schaddadidenreich"
tn_Germany;"Rom";"das Römische Reich";"des Römischen Reichs";"dem Römischen Reich";"das Römische Reich";"ins Römische Reich";"im Römischen Reich";"zum Römischen Reich";"vom Römischen Reich";"aus dem Römischen Reich"
tn_Byzantium;"Ostrom";"das Oströmische Reich";"des Oströmischen Reichs";"dem Oströmischen Reich";"das Oströmische Reich";"ins Oströmische Reich";"im Oströmischen Reich";"zum Oströmischen Reich";"vom Oströmischen Reich";"aus dem Oströmischen Reich"
tn_Rum;"Rum";"das Sultanat Rum";"des Sultanats Rum";"dem Sultanat Rum";"das Sultanat Rum";"ins Sultanat Rum";"im Sultanat Rum";"zum Sultanat Rum";"vom Sultanat Rum";"aus dem Sultanat Rum"
tn_Albon;"Albon";"die Grafschaft Albon";"der Grafschaft Albon";"der Grafschaft Albon";"die Grafschaft Albon";"in die Grafschaft Albon";"in der Grafschaft Albon";"zur Grafschaft Albon";"von der Grafschaft Albon";"aus der Grafschaft Albon"
tn_Leon_Kingdom;"León";"das Königreich León";"des Königreichs León";"dem Königreich León";"das Königreich León";"ins Königreich León";"im Königreich León";"zum Königreich León";"vom Königreich León";"aus dem Königreich León"
tn_BanuMarin;"Banu Marin";"die Banu Marin";"der Banu Marin";"den Banu Marin";"die Banu Marin";"zu den Banu Marin";"bei den Banu Marin";"zu den Banu Marin";"von den Banu Marin";"von den Banu Marin"
tn_Pisa;Pisa;die Republik Pisa;der Republik Pisa;der Republik Pisa;die Republik Pisa;in die Republik Pisa;in der Republik Pisa;zur Republik Pisa;von der Republik Pisa; aus der Republik Pisa
