*;base
culture_Obotritian;Obotritian
culture_Swabian;Swabian
culture_Mari;Mari
culture_group_Frankish;Frankish
culture_group_English;English
culture_group_Iberian;Iberian
culture_group_Italian;Italian
culture_group_Nordic;North Germanic
culture_group_Steppe;Turkic Nomadic
culture_group_ArabicNomadic;Arabic Nomadic
culture_Roman;Roman
culture_Venetian;Venetian
culture_Genuese;Genuese
culture_Lombard;Lombard
culture_Neapolitan;Neapolitan
culture_Sicilian;Sicilian
culture_French;French
culture_Burgundian;Burgundian
culture_Occitan;Occitan
culture_Norman;Norman
culture_Castilian;Castilian
culture_Leonese;Leonese
culture_Aragonese;Aragonese
culture_Portuguese;Portuguese
culture_Catalan;Catalan
culture_Basque;Basque
culture_Galician;Galician
culture_AngloSaxon;Anglo-Saxon
culture_Kipchak;Kipchak
culture_Cuman;Cuman
culture_Pecheneg;Pecheneg
culture_Bedouin;Bedouin
culture_Hawwara;Hawwara
culture_Pisan;Pisan
